id,question,option_a,option_b,option_c,correct,category,aspect,mode,difficulty,created_at,last_used_at,use_count,hash
1,Kdo napsal Hamleta?,Goethe,Molière,Shakespeare,2,,,adult,normal,2025-12-27 19:54:12,,0,qkdros
2,Jaké je hlavní město Francie?,Lyon,Marseille,Paříž,2,,,adult,normal,2025-12-27 19:54:12,,0,-cnr702
3,Kolik planet má sluneční soustava?,9,7,8,2,,,adult,normal,2025-12-27 19:54:12,,0,-g1xn64
4,Kde se nachází slavné město Petra,Jordánsko,Egypt,Izrael,0,,,adult,normal,2025-12-27 19:57:51,,0,-d81f16
5,Který tým vyhrál mistrovství světa ve fotbale v roce 2018,Francie,Německo,Španělsko,0,,,adult,normal,2025-12-27 19:57:51,,0,3f3zae
6,Kdo režíroval slavný film Pulp Fiction,Martin Scorsese,Steven Spielberg,Quentin Tarantino,2,,,adult,normal,2025-12-27 19:57:51,,0,linp64
7,Který je nejznámější souboj v historii Formule 1,Schumacher vs Häkkinen,Senna vs Prost,Hamilton vs Vettel,1,,,adult,normal,2025-12-27 19:57:51,,0,-9153mz
8,Který šéf kuchař má nejvíce michelinských hvězd,Gordon Ramsay,Joël Robuchon,Alain Ducasse,1,,,adult,normal,2025-12-27 19:57:51,2025-12-28 23:28:47,1,haqtv5
9,Která společnost prošla bankrotem v roce 2008,Enron,Lehman Brothers,WorldCom,1,,,adult,normal,2025-12-27 19:57:51,,0,-f1aafx
10,Která řeka protéká městem Káhirou?,Amazonka,Dunaj,Nil,2,,,adult,normal,2025-12-28 07:49:03,,0,yki79b
11,Který herec hrál roli Lukea Skywalkera ve filmu Star Wars?,Mark Hamill,Harrison Ford,Carrie Fisher,0,,,adult,normal,2025-12-28 07:49:03,,0,-z8dudx
12,"Jaký je název obrazu, který byl prodán za nejvyšší cenu na aukci?",Salvator Mundi,Mona Lisa,Scream,0,,,adult,normal,2025-12-28 07:49:03,,0,6qibu1
13,Kdo je autorem designu ikonického křesla Barcelona?,Ludwig Mies van der Rohe,Le Corbusier,Eero Saarinen,0,,,adult,normal,2025-12-28 07:49:03,,0,-j5iq5r
15,Jak se jmenuje nejznámější album kapely Pink Floyd?,The Wall,Dark Side of the Moon,Wish You Were Here,1,,,adult,normal,2025-12-28 07:49:03,,0,5jdeh4
16,Kdo vynalezl první prakticky využitelný telefon?,Guglielmo Marconi,Alexander Graham Bell,Nikola Tesla,1,,,adult,normal,2025-12-28 07:49:03,,0,k5zpzf
19,Co je název havárie jaderné elektrárny v roce 1986?,Fukushima,Černobyl,Three Mile Island,1,,,adult,normal,2025-12-28 07:49:03,,0,-l3bls
20,"Kdo vydal dekret, kterým zrušil otroctví?",Abraham Lincoln,Theodore Roosevelt,Franklin D. Roosevelt,0,,,adult,normal,2025-12-28 07:49:03,,0,14phdh
21,Které nakladatelství vydalo první knihu o Harrym Potterovi?,Penguin,Scholastic,Bloomsbury,2,,,adult,normal,2025-12-28 07:49:03,,0,n3gqkr
22,Jaký tým drží rekord v počtu vyhraných zápasů v Premier League?,Manchester United,Liverpool FC,Arsenal FC,0,,,adult,normal,2025-12-28 07:50:12,,0,mufrt3
23,Který skandál způsobilo odhalení tajných nahrávek v hollywoodském studiu?,Harvey Weinstein,Watergate,Enron,0,,,adult,normal,2025-12-28 07:50:12,,0,r83c60
24,Která francouzská restaurace má nejvíce michelinských hvězd?,Guy Savoy,Joël Robuchon,Alain Ducasse,1,,,adult,normal,2025-12-28 07:50:12,,0,vba2jm
